condition,timepoint,c-Citrineperod,c-Citrineperodvar
"2% Glu,1 IPTG",95.85416667,1447.516598,5912.569041
"2% Glu,1 IPTG",106.5041667,1533.647079,6445.163832
"2% Glu,1 IPTG",117.1533333,1558.32665,4821.333265
"2% Glu,1 IPTG",127.8033333,1546.704379,11538.90641
"2% Glu,1 IPTG",138.4525,1583.012709,6935.793872
"2% Glu,1 IPTG",149.1016667,1662.89494,7988.429575
"2% Glu,1 IPTG",159.7516667,1746.810839,10118.86436
"2% Glu,1 IPTG",170.4008333,1778.086621,8604.308312
"2% Glu,1 IPTG",181.0508333,1862.245892,10493.41395
"2% Glu,1 IPTG",191.7,1899.030477,7446.825747
"2% Glu,1 IPTG",202.35,2050.593324,14301.24228
"2% Glu,1 IPTG",212.9983333,2139.815833,17976.94595
"2% Glu,1 IPTG",223.6483333,2257.163248,16435.93412
"2% Glu,1 IPTG",234.2975,2383.031695,15581.87715
"2% Glu,1 IPTG",244.9466667,2471.132276,25767.89133
"2% Glu,1 IPTG",255.5966667,2533.011656,15345.18989
"2% Glu,1 IPTG",266.2458333,2631.174214,14737.71006
"2% Glu,1 IPTG",276.8958333,2685.579424,18078.85088
"2% Glu,1 IPTG",287.545,2759.211582,19558.39664
"2% Glu,1 IPTG",298.195,2825.363028,19921.47705
"2% Glu,1 IPTG",308.8441667,2894.079198,29858.37345
"2% Glu,1 IPTG",319.4941667,2948.389056,27741.53652
"2% Glu,1 IPTG",330.1433333,2984.317068,29981.68347
"2% Glu,1 IPTG",340.7925,3058.362737,40714.77314
"2% Glu,1 IPTG",351.4425,3085.256875,44204.80704
"2% Glu,1 IPTG",362.0916667,3119.447252,53684.28349
"2% Glu,1 IPTG",372.7416667,3158.568832,55621.72731
"2% Glu,1 IPTG",383.3908333,3227.85021,58503.59591
"2% Glu,1 IPTG",394.0391667,3266.508427,58165.0715
"2% Glu,1 IPTG",404.6891667,3290.598402,54432.19974
"2% Glu,1 IPTG",415.3391667,3335.184327,59485.6416
"2% Glu,1 IPTG",425.9883333,3357.892675,65480.64613
"2% Glu,1 IPTG",436.6375,3344.407001,57569.6215
"2% Glu,1 IPTG",447.2883333,3334.153154,66376.27504
"2% Glu,1 IPTG",457.9366667,3335.223867,71246.87829
"2% Glu,1 IPTG",468.5866667,3284.217215,71579.65147
"2% Glu,1 IPTG",479.2358333,3282.176376,82201.04284
"2% Glu,1 IPTG",489.885,3279.681019,85160.15154
"2% Glu,1 IPTG",500.535,3258.192801,82779.63862
"2% Glu,1 IPTG",511.1841667,3225.706934,83841.67704
"2% Glu,1 IPTG",521.8341667,3128.025132,102333.402
"2% Glu,1 IPTG",532.4833333,3058.029731,98057.6217
"2% Glu,1 IPTG",543.1325,2984.657901,103684.5871
"2% Glu,1 IPTG",553.7825,2927.392734,98261.72312
"2% Glu,1 IPTG",564.4316667,2920.581416,109237.7768
"2% Glu,1 IPTG",575.0808333,2862.137043,96132.80682
"2% Glu,1 IPTG",585.7308333,2822.437579,103373.0057
"2% Glu,1 IPTG",596.38,2797.688454,91043.99993
"2% Glu,1 IPTG",607.0291667,2743.842213,99703.57172
"2% Glu,1 IPTG",617.6791667,2743.091536,103836.0528
"2% Glu,1 IPTG",628.3283333,2719.542855,92846.47332
"2% Glu,1 IPTG",638.9775,2682.044545,86625.05892
"2% Glu,1 IPTG",649.6275,2681.576896,87180.86757
"2% Glu,1 IPTG",660.2766667,2667.110505,91099.29741
"2% Glu,1 IPTG",670.9258333,2657.214628,76297.50232
"2% Glu,1 IPTG",681.5758333,2627.406543,68958.61885
"2% Glu,1 IPTG",692.2366667,2599.753107,77873.85935
"2% Glu,1 IPTG",702.875,2591.062814,80951.16297
"2% Glu,1 IPTG",713.5241667,2585.58263,75800.11316
"2% Glu,1 IPTG",724.1741667,2572.881406,76919.95614
"2% Glu,1 IPTG",734.8233333,2574.369625,73205.93529
"2% Glu,1 IPTG",745.4725,2569.126491,72019.32827
"2% Glu,1 IPTG",756.1225,2557.477892,75679.75426
"2% Glu,1 IPTG",766.7716667,2531.983917,66391.20167
"2% Glu,1 IPTG",777.4208333,2554.542467,66435.84403
"2% Glu,1 IPTG",788.0708333,2541.528859,64004.72936
"2% Glu,1 IPTG",798.7208333,2516.737595,65319.38674
"2% Glu,1 IPTG",809.37,2521.687421,60095.89259
"2% Glu,1 IPTG",820.0208333,2515.829697,61679.65361
"2% Glu,1 IPTG",830.67,2505.632291,63284.78237
"2% Glu,1 IPTG",841.3191667,2546.556689,67776.00597
"2% Glu,1 IPTG",851.9675,2535.459274,65672.64428
"2% Glu,1 IPTG",862.6166667,2579.088741,60410.12894
"2% Glu,1 IPTG",873.2675,2562.766218,68154.53333
"2% Glu,1 IPTG",883.9158333,2554.547026,57856.83984
"2% Glu,1 IPTG",894.5658333,2563.597343,53272.23093
